(3.86820688331089, 85.83749999999964)
(2.080255721789385, 311.85000000000036)
(4.762182464071657, 408.71249999999964)
(7.444109206353929, 441.0)
(7.444109206353929, 763.875)
(10.1260359486362, 828.4500000000007)
(11.91398711015772, 925.3125)
(16.383865013961497, 989.8875000000007)
(20.853742917765288, 1345.0499999999993)
(22.641694079286808, 1345.0499999999993)
(25.32362082156908, 1700.2124999999996)
(28.00554756385135, 1700.2124999999996)
(32.47542546765514, 1732.5)
(39.627230113741206, 2152.2374999999993)
(44.99108359830575, 2249.0999999999985)
(52.14288824439181, 2507.399999999998)
(56.612766148195604, 2539.6875)
(64.65854637504243, 2539.6875)
(68.23444869808544, 2539.6875)
(83.43203357101832, 2765.7000000000007)
(87.00793589406136, 2765.7000000000007)
(96.8416672824297, 2636.5499999999993)
(102.20552076699424, 2507.399999999998)
(115.61515447840561, 2119.9500000000007)
(132.60069051286, 1893.9375)
(152.26815328959668, 1635.637499999999)
(164.78381142024728, 1345.0499999999993)
(182.66332303546244, 989.8875000000007)
(196.07295674687384, 957.6000000000004)
(212.16451720056745, 731.5874999999996)
